structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,brain,reg_num,top_level,region_clean,R,A,S,vertex,mm_to_surf
4455,16,3001,CX,DTM,"medial group of nuclei, right",665541,91,86,93,2.0,-13.3,8.8,9861,12927.0,THAL,medial group of nuclei,1.5,-3.0,10.0,0,
4472,16,2993,CX,DTLv,"lateral group of nuclei, right, ventral division",665542,87,85,92,6.3,-11.9,9.8,9861,12925.0,THAL,"lateral group of nuclei, ventral division",5.5,-2.0,11.0,0,
4512,16,3009,CX,R,"reticular nucleus of thalamus, right",362512,82,84,92,11.6,-11.5,10.9,9861,4504.0,THAL,ventral thalamus,10.5,-2.0,12.0,0,
4537,16,3050,CX,Pa,"paraventricular nuclei, right of thalamus, right",665540,91,88,93,2.0,-13.9,6.7,9861,,,,1.5,-3.0,8.0,0,
4314,16,3017,CX,SI,"substantia innominata, right",56068,72,93,94,22.0,-15.9,1.9,9861,,,,20.5,-4.0,3.0,0,
4519,16,2803,CX,Sb,"subthalamic nucleus, right",39177,73,98,95,20.9,-18.3,-3.2,9861,,,,19.5,-5.0,-2.0,0,
9074,16,2811,CX,SNC,"substantia nigra, pars compacta, left",344600,93,104,95,-0.3,-20.5,-10.1,9861,9072.0,VTA_SN,substantia nigra,-0.5,-5.0,-8.0,0,
4417,17,3041,CX,DTLv,"lateral group of nuclei, left, ventral division",87542,105,84,98,-12.9,-18.3,11.6,9861,12925.0,THAL,"lateral group of nuclei, ventral division",-12.5,-8.0,12.0,0,
4450,17,3033,CX,DTA,"anterior group of nuclei, right",87520,86,80,101,7.2,-19.9,16.9,9861,12920.0,THAL,anterior group of nuclei,6.5,-11.0,16.0,0,
4455,17,3057,CX,DTM,"medial group of nuclei, right",692605,90,88,102,2.8,-23.3,8.5,9861,12927.0,THAL,medial group of nuclei,2.5,-12.0,8.0,0,
4472,17,3049,CX,DTLv,"lateral group of nuclei, right, ventral division",87525,82,89,102,11.3,-23.4,7.6,9861,12925.0,THAL,"lateral group of nuclei, ventral division",10.5,-12.0,7.0,0,
4506,17,3065,CX,R,"reticular nucleus of thalamus, left",87541,110,83,97,-18.1,-17.1,12.4,9861,4504.0,THAL,ventral thalamus,-17.5,-7.0,13.0,0,
4507,17,3018,CX,ZI,"zona incerta, left",690726,100,92,99,-7.7,-21.5,3.4,9861,4504.0,THAL,ventral thalamus,-7.5,-9.0,4.0,0,
4512,17,2978,CX,R,"reticular nucleus of thalamus, right",87521,76,85,101,17.7,-21.0,11.8,9861,4504.0,THAL,ventral thalamus,16.5,-11.0,11.0,0,
4513,17,3026,CX,ZI,"zona incerta, right",87536,82,96,100,11.3,-23.2,-0.3,9861,4504.0,THAL,ventral thalamus,10.5,-10.0,0.0,0,
4518,17,3090,CX,Sb,"subthalamic nucleus, left",87528,107,95,99,-15.1,-22.5,0.0,9861,,,,-14.5,-9.0,1.0,0,
9005,17,3025,CX,CGMB,"central gray substance of midbrain, right",668917,93,98,100,-0.3,-24.1,-2.7,9861,,,,-0.5,-10.0,-2.0,0,
9054,17,3034,CX,RN,"red nucleus, left",87527,101,100,100,-8.8,-24.8,-5.0,9861,,,,-8.5,-10.0,-4.0,0,
9057,17,2986,CX,RN,"red nucleus, right",668919,86,100,101,7.0,-25.5,-4.5,9861,,,,6.5,-11.0,-4.0,0,
9074,17,3002,CX,SNC,"substantia nigra, pars compacta, left",87529,109,99,99,-17.2,-23.7,-4.3,9861,9072.0,VTA_SN,substantia nigra,-16.5,-9.0,-3.0,0,
9075,17,3010,CX,SNR,"substantia nigra, pars reticulata, left",87530,111,99,99,-19.3,-23.8,-4.3,9861,9072.0,VTA_SN,substantia nigra,-18.5,-9.0,-3.0,0,
4143,14,787,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",38869,145,112,83,-54.9,-11.5,-22.0,9861,4140.0,CTX,middle temporal gyrus,-52.5,7.0,-16.0,21630,0.163333
4329,14,2786,CX,ATZ,"amygdalohippocampal transition zone, left",73464,114,101,83,-22.1,-7.6,-9.6,9861,4328.0,AMYG,amygdalohippocampal transition zone,-21.5,7.0,-5.0,0,
4342,14,2794,CX,BLA,"basolateral nucleus, left",81221,116,107,83,-24.2,-9.4,-16.1,9861,4341.0,AMYG,basolateral nucleus,-23.5,7.0,-11.0,0,
4351,14,2810,CX,BMA,"basomedial nucleus, left",81220,117,102,83,-25.3,-8.0,-10.8,9861,4350.0,AMYG,basomedial nucleus,-24.5,7.0,-6.0,0,
4379,14,2873,CX,LA,"lateral nucleus, left",73461,122,109,83,-30.6,-10.1,-18.4,9861,4378.0,AMYG,lateral nucleus,-29.5,7.0,-13.0,0,
4379,14,2802,CX,LA,"lateral nucleus, left",82143,121,109,83,-29.5,-10.1,-18.3,9861,4378.0,AMYG,lateral nucleus,-28.5,7.0,-13.0,0,
4307,15,2842,CX,SI,"substantia innominata, left",41716,116,97,87,-24.3,-10.8,-4.6,9861,,,,-23.5,3.0,-1.0,0,
4360,15,2826,CX,CeA,"central nucleus, left",40336,118,100,87,-26.4,-11.7,-7.9,9861,4359.0,AMYG,central nucleus,-25.5,3.0,-4.0,0,
4273,10,961,CX,SIG,"short insular gyri, left",28153,127,84,57,-35.0,24.0,3.2,9861,4272.0,CTX,short insular gyri,-34.5,33.0,12.0,11031,1.093029
4092,24,428,CX,PoG-cs,"postcentral gyrus, right, bank of the central sulcus",35008,78,40,124,15.3,-32.5,64.3,9861,4085.0,CTX,postcentral gyrus,14.5,-34.0,56.0,5358,-1.563552
4201,22,969,CX,OTG-i,"occipito-temporal gyrus, left, inferior bank of gyrus",37564,137,116,122,-47.5,-53.3,-18.5,9861,4198.0,CTX,occipito-temporal gyrus,-44.5,-32.0,-20.0,22313,1.445987
4158,18,973,CX,FuG-its,"fusiform gyrus, left, bank of the its",39559,133,117,105,-42.9,-35.7,-22.8,9861,4156.0,CTX,fusiform gyrus,-40.5,-15.0,-21.0,22601,-0.437589
4159,18,981,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",39560,126,121,105,-35.5,-36.6,-27.0,9861,4156.0,CTX,fusiform gyrus,-33.5,-15.0,-25.0,22722,1.230883
4160,18,989,CX,FuG-cos,"fusiform gyrus, left, bank of cos",39561,123,111,103,-32.2,-31.6,-16.6,9861,4156.0,CTX,fusiform gyrus,-30.5,-13.0,-15.0,22956,0.974146
4164,18,965,CX,FuG-cos,"fusiform gyrus, right, bank of cos",39527,62,112,107,32.1,-34.6,-15.6,9861,4156.0,CTX,fusiform gyrus,30.5,-17.0,-16.0,23009,0.628419
4163,18,1052,CX,FuG-l,"fusiform gyrus, right, lateral bank of gyrus",39526,58,121,109,36.2,-39.1,-24.8,9861,4156.0,CTX,fusiform gyrus,34.5,-19.0,-25.0,22806,-0.600802
4166,18,1044,CX,HG,"Heschl's gyrus, left",39516,132,86,100,-41.4,-21.7,9.3,9861,4165.0,CTX,Heschl's gyrus,-39.5,-10.0,10.0,31354,0.629134
4288,18,1028,CX,Pu,"putamen, left",39517,122,87,100,-30.9,-21.7,8.5,9861,4287.0,STR,putamen,-29.5,-10.0,9.0,0,
4167,18,1020,CX,HG,"Heschl's gyrus, right",39483,52,86,104,42.9,-23.9,11.8,9861,4165.0,CTX,Heschl's gyrus,40.5,-14.0,10.0,31405,-1.236072
4271,18,1012,CX,LIG,"long insular gyri, right",39487,64,89,104,30.2,-25.0,8.3,9861,4269.0,CTX,long insular gyri,28.5,-14.0,7.0,31052,-1.573787
4136,18,1051,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",39467,152,94,104,-62.7,-28.6,1.2,9861,4133.0,CTX,superior temporal gyrus,-59.5,-14.0,2.0,32140,0.360736
4142,18,964,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",39466,147,102,105,-57.5,-31.8,-7.1,9861,4140.0,CTX,middle temporal gyrus,-54.5,-15.0,-6.0,32424,0.115695
4143,18,980,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",39465,149,115,105,-59.7,-35.5,-21.0,9861,4140.0,CTX,middle temporal gyrus,-56.5,-15.0,-19.0,21446,1.222886
4150,18,996,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",39472,141,122,105,-51.3,-37.3,-28.3,9861,4147.0,CTX,inferior temporal gyrus,-48.5,-15.0,-26.0,22265,0.326193
4151,18,988,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",39464,142,115,105,-52.4,-35.3,-20.9,9861,4147.0,CTX,inferior temporal gyrus,-49.5,-15.0,-19.0,21997,1.493099
4138,18,1035,CX,STG-l,"superior temporal gyrus, right, lateral bank of gyrus",39451,27,92,104,69.3,-24.9,5.9,9861,4133.0,CTX,superior temporal gyrus,65.5,-14.0,4.0,9733,-0.169154
4139,18,1027,CX,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",39452,35,97,106,60.7,-28.6,0.7,9861,4133.0,CTX,superior temporal gyrus,57.5,-16.0,-1.0,9657,1.225691
4145,18,1011,CX,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",39454,43,99,108,52.2,-31.5,-1.2,9861,4140.0,CTX,middle temporal gyrus,49.5,-18.0,-3.0,8452,-0.402203
4146,18,1043,CX,MTG-i,"middle temporal gyrus, right, inferior bank of gyrus",39448,42,108,109,53.2,-35.0,-10.6,9861,4140.0,CTX,middle temporal gyrus,50.5,-19.0,-12.0,21755,-0.811626
4153,18,979,CX,ITG-its,"inferior temporal gyrus, right, bank of the its",39453,47,118,109,47.8,-38.0,-21.4,9861,4147.0,CTX,inferior temporal gyrus,45.5,-19.0,-22.0,22354,0.827105
4154,18,1003,CX,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",73248,34,118,109,61.6,-37.7,-21.1,9861,4147.0,CTX,inferior temporal gyrus,58.5,-19.0,-22.0,22049,0.697611
4155,18,995,CX,ITG-mts,"inferior temporal gyrus, right, bank of mts",39446,42,111,109,53.2,-35.9,-13.8,9861,4147.0,CTX,inferior temporal gyrus,50.5,-19.0,-15.0,21857,0.811181
4162,18,971,CX,FuG-its,"fusiform gyrus, right, bank of the its",39447,51,118,109,43.6,-38.1,-21.4,9861,4156.0,CTX,fusiform gyrus,41.5,-19.0,-22.0,22638,-0.236585
4094,18,1034,CX,PoG-il,"postcentral gyrus, right, inferior lateral aspect of gyrus",39410,28,77,104,68.3,-20.7,21.9,9861,4085.0,CTX,postcentral gyrus,64.5,-14.0,19.0,17542,1.261135
4173,18,1042,CX,PLT,"planum temporale, right",39409,37,84,104,58.8,-22.9,14.2,9861,4171.0,CTX,planum temporale,55.5,-14.0,12.0,9863,-0.324407
4012,18,1010,CX,PrG-prc,"precentral gyrus, left, bank of the precentral sulcus",39374,123,49,90,-31.4,-0.6,47.1,9861,4010.0,CTX,precentral gyrus,-30.5,0.0,47.0,5682,0.798665
4013,18,1018,CX,PrG-sl,"precentral gyrus, left, superior lateral aspect of gyrus",39375,135,42,92,-44.1,-1.0,54.8,9861,4010.0,CTX,precentral gyrus,-42.5,-2.0,54.0,30945,-0.141441
4014,18,1026,CX,PrG-il,"precentral gyrus, left, inferior lateral aspect of gyrus",39376,147,53,92,-56.8,-4.4,42.8,9861,4010.0,CTX,precentral gyrus,-54.5,-2.0,43.0,19753,-0.001631
4031,18,1002,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",39373,124,40,89,-32.4,3.0,56.5,9861,4028.0,CTX,middle frontal gyrus,-31.5,1.0,56.0,30674,-0.556593
4023,18,970,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",39363,95,37,86,-1.6,7.7,59.8,9861,4021.0,CTX,superior frontal gyrus,-2.5,4.0,59.0,4998,-0.769603
4024,18,978,CX,SFG-l,"superior frontal gyrus, left, lateral bank of gyrus",39362,111,39,86,-18.5,6.7,57.3,9861,4021.0,CTX,superior frontal gyrus,-18.5,4.0,57.0,6480,0.426085
4030,18,986,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",39361,115,39,86,-22.8,6.6,57.2,9861,4028.0,CTX,middle frontal gyrus,-22.5,4.0,57.0,30484,-0.275386
4026,18,962,CX,SFG-m,"superior frontal gyrus, right, medial bank of gyrus",39345,84,48,100,9.5,-9.8,51.0,9861,4021.0,CTX,superior frontal gyrus,8.5,-10.0,48.0,4777,0.487271
4017,18,1017,CX,PrG-prc,"precentral gyrus, right, bank of the precentral sulcus",39319,58,46,97,37.1,-5.4,53.0,9861,4010.0,CTX,precentral gyrus,34.5,-7.0,50.0,30868,-0.174542
4018,18,1025,CX,PrG-sl,"precentral gyrus, right, superior lateral aspect of gyrus",39329,51,43,97,44.5,-4.4,56.4,9861,4010.0,CTX,precentral gyrus,41.5,-7.0,53.0,30922,0.098401
4019,18,1033,CX,PrG-il,"precentral gyrus, right, inferior lateral aspect of gyrus",39330,45,48,97,50.8,-5.7,51.2,9861,4010.0,CTX,precentral gyrus,47.5,-7.0,48.0,5082,-0.011379
4020,18,1041,CX,PrG-cs,"precentral gyrus, right, bank of the central sulcus",39331,48,54,99,47.5,-9.5,45.1,9861,4010.0,CTX,precentral gyrus,44.5,-9.0,42.0,8325,-1.518915
4027,18,985,CX,SFG-l,"superior frontal gyrus, right, lateral bank of gyrus",39316,70,50,96,24.4,-5.8,48.3,9861,4021.0,CTX,superior frontal gyrus,22.5,-6.0,46.0,6205,0.654346
4033,18,993,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",39317,67,49,97,27.6,-6.5,49.7,9861,4028.0,CTX,middle frontal gyrus,25.5,-7.0,47.0,6145,-0.581105
4034,18,1009,CX,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",39318,60,43,97,35.0,-4.6,56.2,9861,4028.0,CTX,middle frontal gyrus,32.5,-7.0,53.0,30792,-0.099473
4092,18,1049,CX,PoG-cs,"postcentral gyrus, right, bank of the central sulcus",39332,47,57,100,48.5,-11.4,42.1,9861,4085.0,CTX,postcentral gyrus,45.5,-10.0,39.0,17975,-0.152002
4015,18,963,CX,PrG-cs,"precentral gyrus, left, bank of the central sulcus",39417,144,62,95,-53.8,-10.0,33.8,9861,4010.0,CTX,precentral gyrus,-51.5,-5.0,34.0,18116,0.747453
4087,18,1050,CX,PoG-cs,"postcentral gyrus, left, bank of the central sulcus",39416,148,61,96,-58.0,-10.8,35.0,9861,4085.0,CTX,postcentral gyrus,-55.5,-6.0,35.0,17918,-0.413415
4023,8,362,CX,SFG-m,"superior frontal gyrus, left, medial bank of gyrus",28050,94,55,46,0.4,44.6,32.7,9861,4021.0,CTX,superior frontal gyrus,-1.5,44.0,41.0,29023,1.611983
4033,18,1001,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",39320,66,46,97,28.6,-5.6,52.9,9861,4028.0,CTX,middle frontal gyrus,26.5,-7.0,50.0,5101,-0.626153
4030,18,994,CX,MFG-s,"middle frontal gyrus, left, superior bank of gyrus",39366,117,36,86,-24.9,7.4,60.4,9861,4028.0,CTX,middle frontal gyrus,-24.5,4.0,60.0,30513,0.352646
4153,18,987,CX,ITG-its,"inferior temporal gyrus, right, bank of the its",39444,49,116,109,45.7,-37.5,-19.3,9861,4147.0,CTX,inferior temporal gyrus,43.5,-19.0,-20.0,22431,1.038495
4145,18,1019,CX,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",39450,46,99,108,49.1,-31.6,-1.2,9861,4140.0,CTX,middle temporal gyrus,46.5,-18.0,-3.0,8453,-0.69429
4150,18,1004,CX,ITG-l,"inferior temporal gyrus, left, lateral bank of gyrus",39463,143,122,105,-53.5,-37.3,-28.4,9861,4147.0,CTX,inferior temporal gyrus,-50.5,-15.0,-26.0,22223,0.746041
4142,18,972,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",39471,150,101,105,-60.7,-31.6,-6.1,9861,4140.0,CTX,middle temporal gyrus,-57.5,-15.0,-5.0,32422,0.219893
4288,14,977,CX,Pu,"putamen, left",39235,117,85,83,-25.1,-3.2,7.4,9861,4287.0,STR,putamen,-24.5,7.0,11.0,0,
4020,16,946,CX,PrG-cs,"precentral gyrus, right, bank of the central sulcus",38934,39,72,88,57.2,-2.8,23.9,9861,4010.0,CTX,precentral gyrus,53.5,2.0,24.0,16606,-0.255344
4299,16,966,CX,GPi,"globus pallidus, internal segment, right",714243,73,92,93,21.0,-14.6,2.8,9861,12898.0,GP,"globus pallidus, internal segment",19.5,-3.0,4.0,0,
4149,16,974,CX,ITG-its,"inferior temporal gyrus, left, bank of the its",39396,133,111,93,-42.5,-21.4,-18.8,9861,4147.0,CTX,inferior temporal gyrus,-40.5,-3.0,-15.0,22593,-0.19518
4159,16,982,CX,FuG-l,"fusiform gyrus, left, lateral bank of gyrus",39394,125,120,93,-34.1,-23.7,-28.2,9861,4156.0,CTX,fusiform gyrus,-32.5,-3.0,-24.0,22817,0.061089
4244,16,998,CX,PHG-l,"parahippocampal gyrus, left, lateral bank of gyrus",39392,112,115,93,-20.4,-22.0,-22.6,9861,,,,-19.5,-3.0,-19.0,0,
4245,16,990,CX,PHG-cos,"parahippocampal gyrus, left, bank of the cos",39393,117,116,93,-25.6,-22.4,-23.8,9861,,,,-24.5,-3.0,-20.0,0,
4230,18,997,CX,CgGp-s,"cingulate gyrus, parietal part, left, superior bank of gyrus",39592,100,59,86,-7.1,1.4,36.1,9861,4228.0,CTX,"cingulate gyrus, parietal part",-7.5,4.0,37.0,2405,1.170755
4231,18,1005,CX,CgGp-i,"cingulate gyrus, parietal part, left, inferior bank of gyrus",39593,96,67,90,-3.0,-4.9,28.4,9861,4228.0,CTX,"cingulate gyrus, parietal part",-3.5,0.0,29.0,2643,-0.082183
4233,18,1021,CX,CgGp-s,"cingulate gyrus, parietal part, right, superior bank of gyrus",39596,87,66,99,6.3,-13.9,31.5,9861,4228.0,CTX,"cingulate gyrus, parietal part",5.5,-9.0,30.0,2067,-0.60059
4234,18,1013,CX,CgGp-i,"cingulate gyrus, parietal part, right, inferior bank of gyrus",39595,92,68,95,1.1,-10.4,28.4,9861,4228.0,CTX,"cingulate gyrus, parietal part",0.5,-5.0,28.0,2441,-0.244796
9222,18,1037,CX,cc,corpus callosum,81146,100,71,95,-7.4,-11.4,25.1,9861,,,,-7.5,-5.0,25.0,0,
9242,18,1053,CX,cgb,"cingulum bundle, right",81149,79,61,96,14.8,-9.1,36.4,9861,,,,13.5,-6.0,35.0,0,
4172,16,883,CX,PLT,"planum temporale, left",39008,154,88,88,-64.4,-10.2,4.4,9861,4171.0,CTX,planum temporale,-61.5,2.0,8.0,31700,1.919699
4270,16,907,CX,LIG,"long insular gyri, left",39004,129,92,89,-38.0,-11.8,0.8,9861,4269.0,CTX,long insular gyri,-36.5,1.0,4.0,10390,-0.242394
4139,16,868,CX,STG-i,"superior temporal gyrus, right, inferior bank of gyrus",39027,48,101,93,47.3,-16.5,-6.3,9861,4133.0,CTX,superior temporal gyrus,44.5,-3.0,-5.0,32133,-0.388753
4145,16,955,CX,MTG-s,"middle temporal gyrus, right, superior bank of gyrus",39028,47,104,94,48.3,-18.3,-9.3,9861,4140.0,CTX,middle temporal gyrus,45.5,-4.0,-8.0,32273,0.085393
4146,16,939,CX,MTG-i,"middle temporal gyrus, right, inferior bank of gyrus",39029,38,110,95,57.8,-20.8,-15.4,9861,4140.0,CTX,middle temporal gyrus,54.5,-5.0,-14.0,21639,0.229417
4153,16,876,CX,ITG-its,"inferior temporal gyrus, right, bank of the its",39034,51,118,98,43.9,-26.6,-23.6,9861,4147.0,CTX,inferior temporal gyrus,41.5,-8.0,-22.0,22532,1.49264
4154,16,884,CX,ITG-l,"inferior temporal gyrus, right, lateral bank of gyrus",39033,46,122,98,49.2,-27.6,-27.8,9861,4147.0,CTX,inferior temporal gyrus,46.5,-8.0,-26.0,22461,0.671859
4155,16,923,CX,ITG-mts,"inferior temporal gyrus, right, bank of mts",39031,38,113,96,57.7,-22.7,-18.4,9861,4147.0,CTX,inferior temporal gyrus,54.5,-6.0,-17.0,22044,0.522995
4136,16,892,CX,STG-i,"superior temporal gyrus, left, inferior bank of gyrus",39043,141,97,92,-50.8,-16.6,-4.2,9861,4133.0,CTX,superior temporal gyrus,-48.5,-2.0,-1.0,32106,-1.415754
4142,16,900,CX,MTG-s,"middle temporal gyrus, left, superior bank of gyrus",39042,142,105,94,-52.0,-21.0,-12.3,9861,4140.0,CTX,middle temporal gyrus,-49.5,-4.0,-9.0,32206,0.624609
4143,16,908,CX,MTG-i,"middle temporal gyrus, left, inferior bank of gyrus",39044,142,109,94,-52.0,-22.1,-16.6,9861,4140.0,CTX,middle temporal gyrus,-49.5,-4.0,-13.0,21742,-0.392798
4178,16,915,CX,PLP,"planum polare, left",39009,134,98,89,-43.3,-13.6,-5.7,9861,4177.0,CTX,planum polare,-41.5,1.0,-2.0,31085,0.692746
4323,14,2209,CX,Cl,"claustrum, right",38881,64,86,83,30.8,-2.2,7.4,9861,,,,28.5,7.0,10.0,0,
4322,14,2233,CX,Cl,"claustrum, left",39255,124,87,82,-32.5,-2.9,4.9,9861,,,,-31.5,8.0,9.0,0,
4106,20,722,CX,SMG-s,"supramarginal gyrus, left, superior bank of gyrus",37601,143,64,111,-53.2,-27.3,34.8,9861,4104.0,CTX,supramarginal gyrus,-50.5,-21.0,32.0,17488,-0.551104
4296,16,917,CX,GPi,"globus pallidus, internal segment, left",51234,111,90,92,-19.1,-13.9,3.9,9861,12898.0,GP,"globus pallidus, internal segment",-18.5,-2.0,6.0,0,
4248,16,870,CX,PHG-cos,"parahippocampal gyrus, right, bank of the cos",39399,65,117,98,29.1,-26.6,-22.8,9861,,,,27.5,-8.0,-21.0,0,
4323,17,2257,CX,Cl,"claustrum, right",40314,63,87,97,31.5,-17.1,9.1,9861,,,,29.5,-7.0,9.0,0,
4031,16,914,CX,MFG-i,"middle frontal gyrus, left, inferior bank of gyrus",38654,140,60,79,-49.1,7.4,32.9,9861,4028.0,CTX,middle frontal gyrus,-47.5,11.0,36.0,30656,0.010645
4155,16,931,CX,ITG-mts,"inferior temporal gyrus, right, bank of mts",39244,40,112,96,55.6,-22.5,-17.3,9861,4147.0,CTX,inferior temporal gyrus,52.5,-6.0,-16.0,21996,1.046744
4146,16,947,CX,MTG-i,"middle temporal gyrus, right, inferior bank of gyrus",39245,41,109,95,54.6,-20.6,-14.4,9861,4140.0,CTX,middle temporal gyrus,51.5,-5.0,-13.0,21692,0.044438
4151,16,916,CX,ITG-mts,"inferior temporal gyrus, left, bank of mts",39357,142,113,94,-52.0,-23.2,-20.9,9861,4147.0,CTX,inferior temporal gyrus,-49.5,-4.0,-17.0,21895,-0.021902
4286,16,893,CX,BCd,"body of caudate nucleus, right",248616,80,74,91,13.8,-7.6,21.5,9861,12899.0,STR,body of the caudate nucleus,12.5,-1.0,22.0,0,
4288,16,941,CX,Pu,"putamen, left",40074,119,88,91,-27.5,-12.5,5.7,9861,4287.0,STR,putamen,-26.5,-1.0,8.0,0,
4034,16,889,CX,MFG-i,"middle frontal gyrus, right, inferior bank of gyrus",39322,52,52,82,43.8,8.8,43.8,9861,4028.0,CTX,middle frontal gyrus,40.5,8.0,44.0,30680,-0.636076
4033,16,929,CX,MFG-s,"middle frontal gyrus, right, superior bank of gyrus",38621,73,44,79,21.7,13.6,51.4,9861,4028.0,CTX,middle frontal gyrus,19.5,11.0,52.0,30417,0.505473
4167,16,948,CX,HG,"Heschl's gyrus, right",39657,45,91,90,50.7,-10.4,3.8,9861,4165.0,CTX,Heschl's gyrus,47.5,0.0,5.0,31393,0.424667
4107,22,873,CX,SMG-i,"supramarginal gyrus, left, inferior bank of gyrus",38604,153,74,119,-64.0,-38.7,25.5,9861,4104.0,CTX,supramarginal gyrus,-60.5,-29.0,22.0,17125,-2.417707
