AHBA_acro,ROI,Full_name,structureOrder, PV_M_mean , PV_M_SD , PV_F_mean , PV_F_SD , SST_M_mean , SST_M_SD , SST_F_mean , SST_F_SD , VIP_M_mean , VIP_M_SD , VIP_F_mean , VIP_F_SD , SSTCR_mean , SSTCR_SD , SSTnNOS_mean , SSTnNOS_SD , VIPCR_mean , VIPCR_SD , VIPCCK_mean , VIPCCK_SD 
,MOp6a,"Primary motor area, Layer 6",1900,3462.49,358.62,3300.97,328.76,5023.91,609.53,5331.52,329.66,971.51,127.68,1017.81,101.61,213.87,63.19,159.02,28.27,326.55,120.76,61.19,4.82
,MOs,Secondary motor area,2100,3762.52,338.54,3598.21,260.69,3905.3,245.13,4181.28,226.13,2212.19,180.09,2207.07,148.66,564.29,63.28,69.18,13.52,543.34,128.97,252.48,6.23
,MOs1,"Secondary motor area, layer 1",2200,249.08,45.12,231.85,52.73,884.77,37.27,996.11,336.95,1777.84,251.04,1835.24,352.66,208.56,149.35,38.21,18.25,227.56,114.63,385.91,34.97
,MOs2/3,"Secondary motor area, layer 2/3",2300,3799.74,346.04,3663.68,309.34,3569.55,201.18,3862.75,211.25,4210.54,284.56,4169.75,202.78,1028.88,87.32,39.99,9.39,937.7,219.6,431.35,29.48
,MOs5,"Secondary motor area, layer 5",2400,5958.33,551.72,5664.71,348.31,5400.43,331.29,5680.72,240.73,1185.49,81.85,1150.47,76.59,489.75,69.21,66.48,7.14,453.51,163.22,93.53,12.72
,MOs6a,"Secondary motor area, layer 6",2500,3780.24,385.93,3640.08,339.21,5174.19,500.86,5588.29,330.7,927.46,114.08,949.37,59.72,247.28,54.84,163.69,29.86,336.22,123.19,63.55,10.46
,SS,Somatosensory areas,2700,5490.39,395.21,5294.61,478.35,4586.22,241.01,4815.87,316.2,1986.5,157.32,1959.76,156.19,284.46,11.26,83.38,24.04,433.09,85.31,185.09,9.18
,SSp,Primary somatosensory area,2800,5617.18,416.37,5418.36,493.26,4563.59,266.99,4792.15,305.69,1996.64,161.94,1963.05,157.07,290.82,12.12,82.02,23.27,434.97,83.53,183.64,9.28
,SSp1,"Primary somatosensory area, layer 1",2900,75.52,38.58,91.66,33.17,481.23,114.64,501.29,194.04,935.24,158.38,998.38,477.25,93.82,67.19,17.27,8.21,132.68,153.5,311.52,84.88
,SSp2/3,"Primary somatosensory area, layer 2/3",3000,3567.59,372.08,3454.96,365.84,2657.24,81.23,2843.29,238.19,4579.59,352.59,4519.88,388.85,607.92,34.88,40.64,8.81,738.83,100.21,489.74,43.1
,SSp4,"Primary somatosensory area, layer 4",3100,7621.53,609.19,7426.67,634.52,3677.47,347.62,3623.68,292.22,2408.07,228.72,2426.44,258.07,380.43,79.09,12.62,12.46,715.52,280.26,63.29,9.14
,SSp5,"Primary somatosensory area, layer 5",3200,7573.61,553.59,7238.62,490.44,6366.78,134.45,6721.34,376.98,1197.33,91.81,1138.75,139.61,243.34,34.81,71.2,18.56,337.54,101.86,50.56,9.1
,SSp6a,"Primary somatosensory area, layer 6",3300,3494.96,303.22,3399.43,234.52,5526.23,507.12,6184.07,348.8,923.53,116.67,987.11,112.61,170.6,45.89,139.66,13.96,319.62,107.63,64.27,16.78
,SSp0n,"Primary somatosensory area, nose",3500,6121.3,429.4,5931.8,556.05,4568.4,245.45,4903.74,393.3,1732.02,143.93,1790.49,132.82,152.77,18.38,74.59,20.43,357.64,63.85,130.63,7.95
,SSp0n1,"Primary somatosensory area, nose, layer 1",3600,256.68,63.6,277.56,97.73,770.43,204.69,966.79,128.87,1401.6,358.41,1300.14,334.39,103.61,46.79,23.27,23.94,159.72,228.21,395.53,98.75
,SSp0n2/3,"Primary somatosensory area, nose, layer 2/3",3700,4855.38,476.95,4947.72,522.69,2779.34,189.63,3061.26,388.87,3795.28,261.84,3971.3,208.8,254.79,12.9,27.34,12.88,597.02,53.84,230.48,64.93
,SSp0n4,"Primary somatosensory area, nose, layer 4",3800,12304.84,1039.35,11984.23,1121.52,5536.93,211.9,6105.93,778.22,1592.13,108.53,1486.11,143.4,158,52.43,10.01,8.71,540.48,272.33,23.62,9.28
,SSp0n5,"Primary somatosensory area, nose, layer 5",3900,10281.12,721.42,9763.69,750.52,7943.8,374.5,8203.32,511.54,766.3,79.91,770.37,106.45,127.82,28.56,90.3,4.81,231.45,102.64,27.26,12.51
,SSp0n6a,"Primary somatosensory area, nose, layer 6",4000,2939.6,174.89,2811.29,340.36,4462.38,624.18,4923.9,289.36,547.61,68.3,642.62,124.89,77.89,29.29,173.92,68.86,212.11,88.61,29.06,1.14
,SSp0bfd,"Primary somatosensory area, barrel field",4200,5893.9,408.14,5760.23,477.41,4449.71,238.06,4664.86,334.7,1877.19,132.69,1845.19,156.22,225.84,13.26,79.48,27.03,390.1,87.01,151.73,7.06
,SSp0bfd1,"Primary somatosensory area, barrel field, layer 1",4300,222.98,64.38,180.3,29.59,616.96,56.31,760.93,140.42,1386.54,174.43,1334.61,619.97,63.23,27.5,21.75,17.82,144.36,146.46,351.71,21.83
,SSp0bfd2/3,"Primary somatosensory area, barrel field, layer 2/3",4400,4030.1,303.45,3990.08,353.72,2686.12,153.54,2807.25,253.86,4058.06,251.47,3985.42,248.7,432.69,25.84,36.72,14.36,641.02,88.39,321.96,18.57
,SSp0bfd4,"Primary somatosensory area, barrel field, layer 4",4500,11022.22,882.22,10582.54,767.65,4401.55,298.67,4690.96,316.26,1727.82,157,1623.61,68.88,159.63,34.63,7.48,0.93,474.34,178.76,33.86,6.11
,SSp0bfd5,"Primary somatosensory area, barrel field, layer 5",4600,10649.93,659.26,10549.88,810.61,8703.04,398.06,9077.7,632.18,993.49,93.56,981.44,61.76,220.23,15.01,97.48,34.19,350.98,158.76,38.57,8.66
,SSp0bfd6a,"Primary somatosensory area, barrel field, layer 6",4700,3095.63,254.66,2943.31,359.53,3988.51,292.23,4149.75,354.06,499.2,48.86,528.33,64.59,90.8,32.39,175.95,54.33,188.6,81.58,35.15,12.12
,SSp0ll,"Primary somatosensory area, lower limb",4900,5390.97,489.06,5062.82,552.53,4832.08,371.96,4947.6,271.77,2181.49,185.25,2136.15,144.67,355.06,23.07,86.12,16.13,507.3,88.32,242.47,18.09
,SSp0ll1,"Primary somatosensory area, lower limb, layer 1",5000,209.19,95.02,166.32,81.57,461.72,93.6,660.34,135.23,1440.63,206.11,1748.59,261.92,69.42,42.25,26.91,8.97,188.56,251.61,281.23,54.81
,SSp0ll2/3,"Primary somatosensory area, lower limb, layer 2/3",5100,3927,264.8,3810.9,538.91,3315.95,165.7,3576.6,193.18,4812.49,324.87,4712.83,330.98,789.98,36.01,77.02,23.14,764.59,62.62,734.53,27.14
,SSp0ll4,"Primary somatosensory area, lower limb, layer 4",5200,9974.17,840.3,9339.12,1139.92,4574.25,365.63,4615.55,314.45,3031.2,344.22,2907.86,207.33,600.98,33.82,20.65,10.04,812.51,193.72,148.65,13.5
,SSp0ll5,"Primary somatosensory area, lower limb, layer 5",5300,8465.33,916.33,7887.06,781.84,6729.17,374.32,6885.66,208.97,1456.75,180.99,1365.86,91.34,263.83,45.65,67.3,7.16,522.45,204.43,79.93,20.88
,SSp0ll6a,"Primary somatosensory area, lower limb, layer 6",5400,3897.72,399.2,3659.14,415.81,5532.18,730.98,5499.34,520.56,948.59,129.78,890.69,93.32,138.7,43.51,146.33,34.63,315.28,129.08,50.04,6.72
,SSp0m,"Primary somatosensory area, mouth",5600,5587.03,402.15,5338.04,480.74,4351.69,224.03,4639.05,316.67,1832.58,151.83,1870.07,191.71,222.52,14.17,83.09,9.62,405.69,63.21,166.23,12.32
,SSp0m1,"Primary somatosensory area, mouth, layer 1",5700,162.88,62.8,219.88,53.48,760.33,159.09,839.35,192.77,1255.33,297.08,1384.58,530.06,146.76,64.46,41.02,21.23,184.37,247.1,402.81,54.09
,SSp0m2/3,"Primary somatosensory area, mouth, layer 2/3",5800,4258.96,449.27,4255.62,444.65,2665.18,182.18,2884.59,222.87,3999.49,239.47,4079.23,369.51,446.74,34.33,39.27,13.57,664.94,96.43,339.3,55.12
,SSp0m4,"Primary somatosensory area, mouth, layer 4",5900,10130.08,617.42,9834.54,1240.31,4220.15,169.32,4599.18,317.01,1889.17,195.55,1755.6,91.07,157.25,53.28,6.93,3.08,652.78,230.29,43.46,8.14
,SSp0m5,"Primary somatosensory area, mouth, layer 5",6000,9616.42,522.46,9051.97,630.22,7097.26,228.66,7348.27,504.75,971.68,99.65,950.16,73.69,162.25,21.21,86.32,2.3,298.53,117.15,42.16,7.67
,SSp0m6a,"Primary somatosensory area, mouth, layer 6",6100,3211.95,268.2,2980.05,296.04,4707.24,597.32,5170.86,374.04,822.92,115.71,874.22,141.67,118.96,28.2,173.99,24.59,254.41,84.05,54.72,5.5
,SSp0ul,"Primary somatosensory area, upper limb",6300,5592.92,392.87,5355.16,547.71,4564.73,334.95,4851.53,309.15,2004.4,196.06,1927.01,177.16,310.28,10.15,95.8,32.61,441.62,73.34,198.07,14.56
,SSp0ul1,"Primary somatosensory area, upper limb, layer 1",6400,163.07,68.01,147.92,62.97,640.1,48.48,853.81,185.25,1392.8,175.86,1488.85,603.07,79.49,8.5,34.11,31.21,152.37,144.34,274.36,30.48
,SSp0ul2/3,"Primary somatosensory area, upper limb, layer 2/3",6500,4247.01,229.36,4134.43,538.97,3133.95,204.49,3423.34,260.9,4323.26,371.43,4155.76,261.65,695.83,65.37,61.58,20.8,719.41,54.86,501.89,32.33
,SSp0ul4,"Primary somatosensory area, upper limb, layer 4",6600,10654.21,650.39,10060.25,1054.39,4247.44,302.91,4659.93,337.44,2150.82,285.26,1950.9,137.38,289.9,42.29,9.12,8.44,646.45,214.86,54.99,14.02
,SSp0ul5,"Primary somatosensory area, upper limb, layer 5",6700,9554.17,820.73,9165.04,784.24,7816.26,532.23,8268.47,462.5,1112.18,153.15,1032.31,65.98,219.19,23.14,101.65,32.79,399.85,154.91,58.84,7.19
,SSp0ul6a,"Primary somatosensory area, upper limb, layer 6",6800,3079.7,277.81,2950.71,401.07,4344.75,541.08,4457.35,367.81,723.28,123.48,708.76,121.76,101.85,31.36,184.9,62.99,224.99,74.9,46.86,8.35
,SSp0tr,"Primary somatosensory area, trunk",7000,5614.89,489.24,5421.09,529.38,4891.62,346.43,5035.08,285.49,2265.53,192.46,2198.95,148.52,439.31,20.42,77.23,27.59,513.55,110.22,211.14,18.21
,SSp0tr1,"Primary somatosensory area, trunk, layer 1",7100,146.67,100.21,149.37,77.63,253.72,74.91,375.54,145.66,1145.66,195.79,1089.14,271.04,39.43,13.53,8.84,7.94,146.83,135.96,253.4,77.49
,SSp0tr2/3,"Primary somatosensory area, trunk, layer 2/3",7200,3992.94,366.84,3928.73,418.41,3453.89,188.54,3461.81,173.98,4860.6,388.85,4750.73,259.81,904.86,97.35,64.18,34.32,826.62,80.38,537.92,9.47
,SSp0tr4,"Primary somatosensory area, trunk, layer 4",7300,9648.65,761.48,9277.27,822.4,4534.63,280.33,4381.73,292.74,2440.34,217.87,2340.59,220.08,546.67,57.7,14.75,6.25,709.75,228.1,91.83,25.03
,SSp0tr5,"Primary somatosensory area, trunk, layer 5",7400,9675,873.95,9372.09,863.48,8454.32,502.28,8728.73,378.77,1266.02,135.13,1172.5,63.7,340.49,42.77,71.24,25.75,459.72,164.85,56.15,12.84
,SSp0tr6a,"Primary somatosensory area, trunk, layer 6",7500,3635.47,370.62,3450.28,426.94,4842.24,607.93,5136.25,535.68,817.91,86.95,826.85,115.31,143.19,34.1,153.35,45.99,287.12,135.83,44.56,11.09
,SSs,Supplemental somatosensory area,7700,4837.02,290.95,4658.72,409.16,4704.89,157.95,4938.85,392.29,1933.75,143.67,1941.57,158.79,251.56,15.9,90.41,28.03,423.49,97.17,192.78,10.1
,SSs1,"Supplemental somatosensory area, layer 1",7800,210.26,53.73,257.28,84.19,636.29,101.26,891.74,148.8,1743.95,334.66,1952.04,556.19,90.54,29.91,42.23,23.3,275.31,210.2,442.42,52.83
,SSs2/3,"Supplemental somatosensory area, layer 2/3",7900,3576.81,232.79,3539.8,390.29,2784.65,166.59,2975.84,365.61,4084.41,276.84,4100.85,327.82,449.62,88.05,39.5,8.45,754,149.58,443.44,35.18
,SSs4,"Supplemental somatosensory area, layer 4",8000,9153.77,730.19,8741.85,865.48,5164.07,374.46,5601.64,604.89,2633.77,196.32,2454.01,144.38,344.2,30.18,9.99,3.73,694.81,275,98.33,26.2
,SSs5,"Supplemental somatosensory area, layer 5",8100,8497.11,473.65,8233.6,614.31,8172.14,282.16,8503.5,693.57,1177.51,102.83,1145.89,61.69,262.73,26.49,85.29,27.94,314.7,126.57,52.88,8.58
,SSs6a,"Supplemental somatosensory area, layer 6",8200,2786.54,246.68,2556.95,230.22,4815.69,252.86,4926.32,300.91,521.43,48.36,539.77,48.85,94.59,18.04,195.35,58.99,176.47,75.78,25.73,5.97
,ILA,Infralimbic area,8400,1926.12,205.09,1924.92,322.31,7942.35,469.02,8233.64,96.71,1668.87,148.45,1665.19,154.84,533.69,111.84,183.64,32.65,581.3,229.94,120,8.09
,ILA1,"Infralimbic area, layer 1",8500,128.03,91.23,142.8,95.63,935.92,393.85,1003.36,468.1,2999.28,465.75,3239.81,551.89,171.67,68.14,158.63,22.34,638.52,265.76,304.62,26.87
,ILA2,"Infralimbic area, layer 2",8600,1205.26,376.88,1321.41,267.95,5121.06,707.26,5110.2,593.42,2518.08,339.6,2263.92,222.76,624.79,163.85,86.07,49.2,662.67,323.5,92.41,21.61
,ILA2/3,"Infralimbic area, layer 2/3",8700,2157.88,264.11,2188.84,344.22,7022.74,289.79,7121.76,305.12,2623.52,259.64,2624.72,194.62,944.09,185.97,131.6,6.27,936.34,378.83,130.43,30.12
,ILA5,"Infralimbic area, layer 5",8800,2785.25,295.48,2768.36,524.82,11332.1,566.83,11376.8,71.71,1016.79,114.95,987.26,121.48,546.12,131.37,211.87,56.38,451.57,209.12,76.38,8.39
,ILA6a,"Infralimbic area, layer 6",8900,1710.35,223.81,1670.94,273.69,8888.28,1070.03,9735.07,376.91,658.53,88.56,615.6,82.32,252.75,84.21,232.81,53.58,317.22,119,75.85,8.15
,GU,Gustatory areas,9100,1907.25,301.6,1919.74,317.66,5544.7,147.25,5741.74,330.62,1892.52,171.2,1998.68,148.04,369.1,13.15,126.86,26.81,466.34,89.57,243.13,17.95
,GU1,"Gustatory areas, layer 1",9200,44.33,27.41,49.64,41.66,528.79,296.92,536.25,231.14,1369.56,305.36,1845.01,472.44,75.02,53.12,16.72,12.65,278.58,202.72,473.94,100.14
,GU2/3,"Gustatory areas, layer 2/3",9300,1907.95,255.38,1973.51,427.52,4207.85,424.12,4465.23,403.46,4412.04,311.54,4516.15,446.51,673.6,53.95,93.78,29.98,1027.77,216.46,480.17,55.81
,GU4,"Gustatory areas, layer 4",9400,3478.01,730.96,3499.47,770.2,6236.09,514.48,6615.22,506.31,1657.76,153.22,1712.34,324.87,547.23,132,79.51,41.96,513.09,197.92,121.81,17.23
,GU5,"Gustatory areas, layer 5",9500,2732.43,414.95,2720.99,440.55,8459.01,278.74,8514.96,614.26,949.26,100.29,968.1,118.02,377.26,57.43,148.1,29.16,244.42,87.77,75.73,13.79
,GU6a,"Gustatory areas, layer 6",9600,1814.54,307.53,1818.79,230.16,6806.61,450.45,7156.07,414.94,910.21,93.96,885.48,123.15,218.31,62.99,217.78,34.47,278.15,103.42,75.69,7.79
,VISC,Visceral area,9800,2768.52,245.53,2917.98,380.41,5688.28,247.12,5997.26,376.06,2313.23,211.22,2374.13,178.67,296.82,20.37,95.99,27.3,519.32,103.87,244.11,30.46
,VISC1,"Visceral area, layer 1",9900,61.92,31.93,102.91,42.89,480.05,199.18,707.6,112.53,1603.83,364.38,1974.89,423.45,47.94,34.75,21.07,18.68,186.32,116.61,362.9,83.11
,VISC2/3,"Visceral area, layer 2/3",10000,2478.77,233.32,2771.47,377.93,3848,380.45,4289.27,503.68,5564.33,663.86,5636.7,506.63,383.25,139.08,46.81,20.98,1139.61,244.34,586.25,102.82
,VISC4,"Visceral area, layer 4",10100,6684.57,603.17,6991.51,745.65,7075.85,409.85,7454.67,543.64,2994.79,141.42,2799.17,246.85,557.22,106.48,21.5,6,882.04,276.25,187.96,42.49
,VISC5,"Visceral area, layer 5",10200,4099.23,417.36,4249.59,649.32,9241.02,458.21,9652.82,687.06,1259.25,155.04,1232.49,116.59,419.15,60.63,104.59,34.31,355.39,115.19,79.07,23.3
,VISC6a,"Visceral area, layer 6",10300,1835.96,258.17,1884.71,251,6699.77,378.33,6785.52,433.72,693.58,52.39,684.89,53.87,150.86,40.09,214.66,51.36,197.02,84.43,45.19,13.66
,AUD,Auditory areas,10500,4345.06,294.43,4250.99,285.57,4793.06,177.67,4814.17,320.94,2141.82,175.85,2071.02,184.12,411.13,20.97,82.86,27.51,517.94,152.81,214.64,11.34
,AUDd,Dorsal auditory area,10600,4591.62,412.54,4435.63,324.58,4638.83,243.33,4652.68,395.07,2165.85,176.55,2102.47,186.84,417.77,11.97,82.98,31.67,520.82,163.07,214.02,15.2
,AUDd1,"Dorsal auditory area, layer 1",10700,72.6,49.11,77.49,35.33,297.59,126.78,346.37,124.62,1279.62,456.01,1470.37,776.71,36.18,14.94,25.79,23.81,269.88,91.94,297.04,79.74
,AUDd2/3,"Dorsal auditory area, layer 2/3",10800,3114.89,408.15,3122.2,319.47,2887.2,176.05,2873.83,342.67,4392.56,344.1,4260.49,451.79,738.43,144.93,44.58,16.43,926.97,279.19,553.41,46.4
,AUDd4,"Dorsal auditory area, layer 4",10900,9003.28,1020.74,8340.93,684.94,5141.2,237.13,4689.32,407.14,2999.58,257.05,2734,507.3,695.53,49.96,6.86,5.97,745.87,301.92,83.52,14.78
,AUDd5,"Dorsal auditory area, layer 5",11000,7652.47,554.9,7437.64,459.14,7844.7,431.21,7892.78,719.28,1434.25,142.54,1330.7,154.55,463.21,88.78,90.88,41.88,433.74,161.53,66.94,14.38
,AUDd6a,"Dorsal auditory area, layer 6",11100,3012.48,314.12,2850.92,268.27,4844.86,390.54,4983.68,336.48,679.87,67,661.89,83.71,83.66,16.61,177.96,60.21,202.47,115.88,21.99,7.09
,AUDp,Primary auditory area,11300,4826.27,354.14,4654.38,329.48,4606.64,143.35,4612.05,286.59,2052.03,178,1968.94,209.5,377.72,27.15,77.71,26.75,504.3,145.71,211.74,12.13
,AUDp1,"Primary auditory area, layer 1",11400,56.71,55.58,52.27,52.36,242.6,53.71,287.91,156.14,1175.26,192.61,1262.17,516.47,21.82,9.25,13.84,10.66,341.2,141.03,228.93,99.37
,AUDp2/3,"Primary auditory area, layer 2/3",11500,3078.02,309.43,3033.64,334.04,2876.85,213.51,2811.89,264.13,4348.66,310.54,4209.31,448.99,577.97,141.87,60.27,33.23,908.72,258.15,564.38,3.89
,AUDp4,"Primary auditory area, layer 4",11600,9910.02,895.65,9464.76,747.91,5679.44,180.88,5259.53,403.81,2803,356.27,2562.57,624.67,790.14,104.91,16.83,7.56,709.2,279.67,121.58,14.17
,AUDp5,"Primary auditory area, layer 5",11700,7654.41,516.7,7457.11,433.87,7290.73,222.15,7363.7,449.58,1186.08,145.35,1088.23,108.95,382.83,71.85,76.96,17.76,374.07,138.26,62.68,9.65
,AUDp6a,"Primary auditory area, layer 6",11800,3095.92,331.01,2856.31,295.32,4971.61,351.69,5137.91,293.76,580.76,63.75,545.86,71.75,109.54,34.33,167.3,54.08,177.99,93.9,23.62,10.84
,AUDpo,Posterior auditory area,12000,2683.7,413.94,3058.58,370.76,5650,493.29,5426.75,411.93,2932.2,293.33,2960.64,508.99,516.32,45.74,80.79,25.59,847.34,329.81,253.22,55.44
,AUDpo1,"Posterior auditory area, layer 1",12100,65.98,66.94,0,0,380.06,277.87,306.58,170.83,899.42,374.47,1924.9,1206.08,35.36,40.95,63.55,64.23,542.09,282.16,238.77,172.34
,AUDpo2/3,"Posterior auditory area, layer 2/3",12200,952.63,321.82,1372.3,377.95,2932.32,606.86,2967.65,591.09,5426.59,474.68,5499.4,1401.46,519.5,184.11,56.01,49.8,1445.54,570.46,686.11,164.89
,AUDpo4,"Posterior auditory area, layer 4",12300,4941.96,923.97,5059.03,421.33,6285.85,1215.11,6594.29,969.76,4665.1,625.04,4045.31,858.67,1065.39,250.77,22.68,39.28,1435.33,760.01,94.79,107.56
,AUDpo5,"Posterior auditory area, layer 5",12400,4385.5,747.46,4853.16,734.32,8496.5,485.5,8052.85,503.59,2062.9,352.62,1860.79,570.2,713.31,100.98,69.57,21.72,573.89,293.06,60.56,17.87
,AUDpo6a,"Posterior auditory area, layer 6",12500,2428.38,391.32,3025.14,305.29,7493.94,902.38,6923.99,620.69,1028.17,170.28,1134.34,206.16,96.04,86.26,197.35,87.44,299.41,168.07,64.98,32.81
,AUDv,Ventral auditory area,12700,3696.03,221.73,3715.03,288.66,5080.65,204.8,5148.3,306.76,2158.47,170.55,2087.26,137.75,433.24,35.87,88.53,25.65,506.22,140.25,215.87,8.26
,AUDv1,"Ventral auditory area, layer 1",12800,43.99,47.83,26.56,18.32,230.68,87.26,369.29,259.66,1577.46,431.05,1427.17,457.71,35.2,22.24,46.14,25.86,315.85,138.05,324.34,157.94
,AUDv2/3,"Ventral auditory area, layer 2/3",12900,2141.73,380.35,2172.97,390.72,3345.46,251.63,3228.37,401.68,4688.25,319.89,4673.6,300.82,663.55,183.02,64.42,30.21,1021.97,250.38,570.87,104.41
,AUDv4,"Ventral auditory area, layer 4",13000,7439.89,482,7248.49,454.88,6021.16,195.34,5867.52,319.11,3289.73,191.39,3173.05,391.3,962.36,114.08,23.91,8.64,775.12,320.73,166.53,18.16
,AUDv5,"Ventral auditory area, layer 5",13100,6031.72,454.84,6224.89,440.72,7992.18,229.56,8195.89,470.81,1371.83,138.08,1222.09,122.51,486.52,93.9,79.49,23.3,380.51,157.29,69.62,11.21
,AUDv6a,"Ventral auditory area, layer 6",13200,2532.98,194.5,2489.7,214.79,5444.35,481.15,5529,384.26,515.74,63.24,548.9,32.29,117.68,29.6,177.37,42.65,149.62,74.3,16.5,9.28
,VIS,Visual areas,13400,4886.18,379.16,4769.27,398.21,5028.15,344.98,5117.72,246.34,2964.08,228,2966.82,163.19,590.98,81.5,57.49,17.06,695.5,309.51,180.97,20.4
,VISal,Anterolateral visual area,14100,4582.93,319.39,4558.02,311.15,4796.39,271.2,4908.35,383.14,2425.71,233.94,2393.06,190.79,581.36,19.04,64.3,16.77,616.22,224.43,191.44,17.75
,VISal1,"Anterolateral visual area, layer 1",14200,80.04,62.1,105.44,30.4,253.47,70.27,285.47,99.7,953.56,127.11,1106.79,589.04,42.79,23.27,9.91,7.24,196.77,42.11,178.71,24.83
,VISal2/3,"Anterolateral visual area, layer 2/3",14300,3276.01,284.14,3406.05,393.76,2936.53,207.54,2901.74,373.87,5153.18,407.81,5033.62,442.87,895.23,139.52,42.51,20.57,1172.22,391.64,519.01,49.52
,VISal4,"Anterolateral visual area, layer 4",14400,7365.37,548.53,7129.58,663.88,5660.69,372.4,5037.14,475.24,3238.39,500.99,3046.4,299.34,1160.07,103.77,4.38,3.81,838.18,322.61,72.26,8.99
,VISal5,"Anterolateral visual area, layer 5",14500,7945.74,455.59,7802.78,374.03,8384.85,506.72,8643.35,510.01,1504.27,176.39,1495.11,146.26,673.88,118.08,56,28.29,478.86,211.91,70.29,7.89
,VISal6a,"Anterolateral visual area, layer 6",14600,2836.71,244.07,2862.57,284.28,4464.79,453.12,4923.27,575.47,863.48,98.73,869.06,120.55,106.8,23.84,163.15,11.29,268.5,151.1,26.28,13.05
,VISam,Anteromedial visual area,14800,4239.59,411.59,4101.85,526.3,5358.2,375.17,5516.56,202.01,2782.18,189.84,2790.09,112.95,791.62,34.24,90.68,30.64,778.62,273.7,219.46,7.14
,VISam1,"Anteromedial visual area, layer 1",14900,104.98,48.38,146.24,88.24,697.9,196.87,778.17,314.94,2126.4,549.4,2124.14,685.43,84.36,44.64,17.4,6.17,282.79,168.2,263.52,132.63
,VISam2/3,"Anteromedial visual area, layer 2/3",15000,2943.17,279.91,3026.49,552.68,3804.36,445.58,3855.85,393.94,6617.38,361.06,6528.07,193.33,1488.17,232.21,82.68,51.28,1586.11,589.19,552.35,89.01
,VISam4,"Anteromedial visual area, layer 4",15100,6458.28,739.81,6150.93,993.86,6506.2,823.37,6083.92,186.82,3806.53,222.22,3914.88,363.72,1842.33,147.64,28.18,17.6,1423.62,624.51,190.76,66.57
,VISam5,"Anteromedial visual area, layer 5",15200,7634.68,739.64,7256.44,748.15,8865.24,392.11,8816.12,391.89,1287.95,111.62,1258.76,177.17,760.52,111.21,88.4,17.32,569.14,256.79,91.01,24.49
