GENE       CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P
23435        1   11067462   11090549     44       5  150064       1.2868     0.099089
10747        1   11081580   11112296     61       6  150064      0.54209      0.29388
6723         1   11109649   11125091     28       3  150064       0.2906      0.38568
5394         1   11121675   11164961    114       5  150064     -0.57125      0.71609
2475         1   11161588   11327614    342       9  150064     -0.74939      0.77319
10218        1   11244346   11261038     22       2  150064     -0.44583      0.67214
29914        1   11328255   11353491     32       3  150064       1.2136      0.11244
57540        1   11534295   11602640    186      18  150064       1.9962     0.022955
26232        1   11702924   11719888     46      15  150064      0.99445         0.16
93611        1   11709432   11728384     58      14  150064       1.2223       0.1108
26270        1   11719150   11739411     72      14  150064      0.62737      0.26521
10459        1   11729537   11756678     86      18  150064     0.060255      0.47598
374946       1   11746781   11785336    125      25  150064       1.4248     0.077105
57085        1   11791142   11815828     61      10  150064      0.43227      0.33277
284498       1   11818827   11854642    163      13  150064      0.97343      0.16517
4524         1   11840787   11871160    137      14  150064       1.2723      0.10163
1185         1   11861153   11908201    242      18  150064       1.0882      0.13825
4878         1   11900766   11912840     48       9  150064      0.21464      0.41503
4879         1   11912521   11923992     34       8  150064       2.1979     0.013978
90231        1   11974645   11991485     71      13  150064       1.0839      0.13921
5351         1   11989724   12040599    130      13  150064       1.6251     0.052073
9927         1   12035238   12078572    116      13  150064      0.31416       0.3767
60672        1   12074299   12097106     49      11  150064     -0.58048       0.7192
943          1   12118434   12209264    221      44  150064        2.472    0.0067181
7133         1   12222044   12274279    157      21  150064      -1.2655      0.89715
55187        1   12285101   12577099    561      20  150064      -1.1601      0.87699
9249         1   12622939   12682820    206      37  150064      0.71375      0.23769
343066       1   12699566   12732097     76       7  150064     -0.38026      0.64813
126767       1   12771118   12793726     72       9  150064      0.09988      0.46022
93190        1   12801163   12826102     78       9  150064     -0.52566      0.70044
390999       1   12829984   12843049     28       5  150064     -0.90401      0.81701
65121        1   12846546   12861777     49       7  150064      -1.1692      0.87883
440560       1   12879468   12896264     36       4  150064     0.038238      0.48475
343069       1   12902261   12913578     46       2  150064      -0.1777      0.57052
65122        1   12911941   12926764     38       2  150064      -0.1078      0.54292
126755       1   13796445   13845242    199      39  150064      0.10319       0.4589
10630        1   13905252   13949452    148      32  150064    -0.014057      0.50561
7799         1   14021714   14156574    409      33  150064      0.93082      0.17597
23254        1   14214646   15449544   4675     351  150064       1.6021     0.054565
55092        1   15474028   15551974    394      29  150064    -0.024598      0.50981
727684       1   15485692   15503120     74      12  150064      -1.3643      0.91376
114827       1   15568730   15729767    502      60  150064      0.42274      0.33624
79180        1   15731391   15761839     90      25  150064      0.63458      0.26285
11330        1   15759938   15778153     46      12  150064     -0.49163      0.68851
63036        1   15778223   15803586    103      19  150064     -0.29386      0.61557
51032        1   15797596   15822895     87      13  150064     -0.44209      0.67079
842          1   15812896   15856407    152       9  150064     -0.10477      0.54172
23341        1   15848343   15903228    148      13  150064      -0.2632       0.6038
79814        1   15893194   15916605    103       8  150064     0.072736      0.47101
84301        1   15938953   16000539    140       8  150064      0.92199      0.17827
6248         1   15981364   15993217     19       2  150064       1.0784      0.14043
23207        1   16005632   16066264    176      15  150064      0.04135      0.48351
284723       1   16057721   16072884     31       8  150064     -0.27933         0.61
388595       1   16063987   16079292     37       8  150064     -0.64784      0.74145
54751        1   16078107   16118089    100      17  150064      -1.1446      0.87382
440567       1   16128657   16139194     52       6  150064      0.93185      0.17571
23013        1   16169359   16271951    166      20  150064      0.44723      0.32736
7709         1   16263364   16307627     73      14  150064     -0.18296      0.57259
101928566    1   16297626   16328701    134      16  150064    -0.081138      0.53233
149563       1   16325731   16338184     73      10  150064     -0.60022      0.72582
27129        1   16335523   16351084     97      11  150064    -0.080864      0.53222
1187         1   16343486   16365548    135      17  150064       1.3993     0.080862
1188         1   16365231   16388821    194      21  150064     -0.52037       0.6986
348487       1   16379264   16405127    125      13  150064     0.050913       0.4797
1969         1   16445832   16487582     73      14  150064      0.64627      0.25905
128272       1   16519599   16544104     85       8  150064       1.5025     0.066485
101927546    1   16546343   16558528     26       3  150064       2.4442    0.0072586
79363        1   16553182   16568659     34       6  150064       2.6621    0.0038823
54455        1   16568339   16683965    235      13  150064       2.3452    0.0095079
26099        1   16688525   16729643     88      10  150064       2.1063     0.017589
374955       1   16717101   16768919    137      24  150064       1.4953     0.067416
55707        1   16762167   16791585     78      13  150064       1.8417     0.032756
100133301    1   16860561   16871198      3       1  150064       1.1561      0.12382
729574       1   16994498   17005007      4       2  150064        1.899     0.028784
9696         1   17243445   17304474    106      13  150064      0.28851      0.38648
4237         1   17295997   17313081     43       9  150064       2.6684    0.0038103
23400        1   17307453   17343467     79      13  150064       2.2002     0.013897
6390         1   17340217   17385665    150      15  150064        2.699    0.0034778
11240        1   17388256   17450948    290      16  150064        2.012     0.022112
29943        1   17526621   17577501    192      47  150064       1.9926      0.02315
51702        1   17570593   17615728    212      30  150064      0.69508       0.2435
23569        1   17629690   17695495    367      30  150064     0.067465      0.47311
353238       1   17693741   17733195    221      19  150064      0.76987      0.22069
55920        1   17728251   17771250     96      12  150064        0.342      0.36617
55160        1   17841693   18029370    441      50  150064     -0.75589      0.77514
81569        1   18076808   18158558    225      27  150064     0.048654       0.4806
84966        1   18429240   18709977   1045     127  150064       3.1781   0.00074129
127707       1   18802424   18817540     88      13  150064       1.1083      0.13387
5081         1   18952500   19080360    359      60  150064      0.71074      0.23862
80834        1   19161093   19191155    178      32  150064       0.1021      0.45934
8659         1   19192924   19234293    207      30  150064      0.54681      0.29225
126917       1   19225774   19287826    252      36  150064      0.73491       0.2312
23352        1   19396000   19541812    289      18  150064     -0.33038      0.62944
23065        1   19537158   19583053    143      18  150064      0.27857      0.39029
51154        1   19573075   19591622    102      15  150064      0.11998      0.45225
22977        1   19604057   19620280     60       7  150064       1.2074      0.11364
8574         1   19624202   19643640     60      16  150064       2.1811     0.014588
54896        1   19633740   19663925    135      19  150064      0.44185       0.3293
832          1   19660267   19817066    552      26  150064     -0.11872      0.54725
440574       1   19918471   19961315    109      17  150064       1.1223      0.13086
100532736    1   19918471   19989949    213      35  150064       1.3728     0.084906
4681         1   19964723   19989949     92      23  150064        1.314     0.094427
3362         1   19986780   20011055     74      12  150064      0.76269      0.22282
255104       1   20003706   20131424    412      51  150064     -0.65687      0.74437
54546        1   20135522   20146771     67      17  150064      -1.1951      0.88397
23252        1   20203356   20244438     99      17  150064     -0.63677      0.73786
30814        1   20241800   20255110     51      15  150064     -0.34075      0.63335
5320         1   20296924   20311932     55      16  150064      -1.4714      0.92941
5322         1   20381157   20423394    149      24  150064      0.62875      0.26475
26279        1   20434143   20451059     57      19  150064     -0.27685      0.60905
64600        1   20460823   20481879     53      21  150064       1.3362     0.090734
391013       1   20485484   20506687     60      13  150064      0.21821      0.41363
127733       1   20507578   20527540     38       7  150064     -0.29395       0.6156
127731       1   20612412   20686662    282      27  150064       1.1625      0.12251
55450        1   20803884   20817728     22       8  150064       1.0928      0.13724
79594        1   20820941   20839674     53      13  150064       1.1034      0.13494
163933       1   20873932   20886513     58      13  150064      0.91834      0.17922
978          1   20910444   20950401    189      24  150064       -2.192      0.98581
65018        1   20954948   20983004    107      13  150064      -1.5375      0.93792
1650         1   20973260   20993037     71      10  150064      -1.5937       0.9445
57576        1   20985475   21049317    222      46  150064      0.98232      0.16297
400745       1   21041225   21064133     65      13  150064       2.6944    0.0035262
50809        1   21064170   21118808    114      14  150064       3.1056   0.00094948
8672         1   21127785   21508381    722      25  150064       2.9992    0.0013537
1889         1   21538740   21677034    382      40  150064      0.18142      0.42802
84224        1   21761583   21816393    187      16  150064     0.066991      0.47329
249          1   21830475   21909905    338      32  150064     -0.14366      0.55711
5909         1   21917708   22001010    322      52  150064      0.62316      0.26659
84196        1   21999791   22114688    396      37  150064       2.4296    0.0075577
401944       1   22133758   22156714     77      25  150064      0.43736      0.33092
3339         1   22143737   22268750    401      39  150064      0.20924      0.41713
23436        1   22298418   22320847    226      24  150064     -0.26599      0.60488
10136        1   22323149   22344035    128      16  150064      -0.4213      0.66323
998          1   22374120   22424439    136      19  150064       2.2421     0.012478
54361        1   22438798   22475474    119      21  150064       2.9481    0.0015987
9923         1   22773344   22862650    143      17  150064     -0.53265      0.70286
2046         1   22885004   22935087    194      33  150064     0.014106      0.49437
712          1   22958118   22971175     51       7  150064     -0.86136      0.80548
714          1   22964969   22979603     60       9  150064     -0.95884      0.83118
713          1   22974682   22993130     62      10  150064     -0.49761      0.69062
2048         1   23032263   23246823    463      59  150064      0.80822      0.20948
646262       1   23274536   23304524     91      17  150064     -0.73774      0.76966
729059       1   23332327   23347343     30       6  150064     -0.24129      0.59534
23028        1   23340937   23415184     88       9  150064      0.28264      0.38873
7798         1   23405516   23509301    204      22  150064      0.18765      0.42558
3352         1   23513388   23526222     49       5  150064      0.44382      0.32859
10236        1   23630953   23676143     41       7  150064      -0.5309      0.70226
80818        1   23680941   23701357     47       7  150064      -1.0617      0.85581
6920         1   23702555   23756269    141      20  150064       -0.976      0.83547
55616        1   23750056   23815750    147      15  150064     -0.32882      0.62886
1870         1   23827920   23862712     70      13  150064     -0.13336      0.55305
3399         1   23879421   23891285     30      11  150064      0.92738      0.17687
6135         1   24013269   24027915     34       7  150064      0.59102      0.27725
6924         1   24064856   24093549     26       9  150064      0.91113      0.18111
57095        1   24099876   24119722     13       5  150064      0.84954      0.19779
11313        1   24112275   24127029      7       4  150064      0.83586      0.20162
2582         1   24117089   24132294     10       5  150064       1.0161       0.1548
3155         1   24123367   24170110     57       5  150064     -0.63432      0.73706
2517         1   24166567   24199859     77       6  150064     -0.73043      0.76743
1269         1   24192005   24290549    240      15  150064     -0.51564      0.69695
127294       1   24377531   24443665    240      27  150064     0.057112      0.47723
58985        1   24441261   24474783    116      21  150064     -0.25174      0.59938
163702       1   24475647   24518765    160      21  150064       1.2974     0.097249
57822        1   24640812   24695972    129      30  150064      0.34652      0.36448
90529        1   24678489   24746587    179      19  150064      0.99771      0.15921
57185        1   24737245   24804473    192      18  150064       1.6051     0.054232
11123        1   24823841   24868510    131      17  150064       2.2342     0.012735
400746       1   24877567   24940819    270      29  150064       1.4741     0.070223
10250        1   24964594   25004772     41       8  150064       1.8488     0.032244
25932        1   25066760   25175815    113      12  150064     -0.28754      0.61315
864          1   25221002   25296648    173      31  150064    -0.097076      0.53867
25949        1   25543767   25564013      4       2  150064     0.049295      0.48034
57035        1   25563740   25579010     10       5  150064     -0.46081      0.67753
6007         1   25593884   25661936     38       4  150064     -0.50967      0.69486
23585        1   25659789   25693852     22       4  150064     -0.52248      0.69933
6006         1   25682853   25752363     60       3  150064     0.044204      0.48237
55219        1   25752388   25831700     93       2  150064      0.16628      0.43397
26119        1   25865071   25900377     45       5  150064      -1.5411      0.93835
57134        1   25938959   26116258    336      27  150064    -0.094615      0.53769
57190        1   26121667   26149713     70       7  150064     -0.88331      0.81147
56181        1   26141397   26164433     45       4  150064     -0.81487      0.79243
79000        1   26153414   26190939     85       3  150064     -0.92178      0.82168
164091       1   26182975   26207461     25       5  150064     -0.96816      0.83352
3925         1   26205670   26238368     46       5  150064      -1.0453      0.85205
5051         1   26281258   26331366    106       8  150064   -0.0052707       0.5021
2134         1   26343266   26367955     42       8  150064     -0.56409      0.71365
7780         1   26359513   26378439     41       4  150064     -0.34028      0.63318
84676        1   26372792   26399142     68       8  150064    -0.084191      0.53355
149420       1   26432656   26457039     55       2  150064      0.20481      0.41886
79927        1   26480511   26494119     42       8  150064      0.98199      0.16305
51042        1   26491388   26502364     37       6  150064       0.8134        0.208
10256        1   26498981   26521375     57      10  150064       1.5938     0.055488
378807       1   26512119   26534033     76      13  150064      0.53182      0.29742
64793        1   26555644   26610529    179      15  150064      0.95776      0.16909
83442        1   26601213   26613013     33       6  150064      0.86547      0.19339
91544        1   26603773   26649756    164      13  150064      0.66565      0.25282
1043         1   26639411   26652014     47       8  150064      0.24728      0.40235
55057        1   26643350   26685621    154      21  150064      0.19431      0.42297
257101       1   26683125   26706023     94      15  150064     -0.57593      0.71767
79727        1   26732269   26761219     56      14  150064      0.84543      0.19894
79947        1   26753773   26802797     80      16  150064      0.52354       0.3003
3151         1   26793902   26808133     33      10  150064      0.63259       0.2635
6195         1   26851249   26906520    116      16  150064         1.84     0.032883
101928728    1   27013623   27027896     21       5  150064       2.6772    0.0037125
8289         1   27017522   27113601    129       9  150064       2.9555    0.0015606
55650        1   27108739   27129894     19       6  150064       2.8226    0.0023816
84243        1   27148201   27189092     58       8  150064       2.1994     0.013924
2810         1   27184633   27195947     16       3  150064       2.5346    0.0056292
54707        1   27200872   27221869     27       6  150064       2.4691     0.006773
63906        1   27211979   27231962     28       5  150064       2.5055    0.0061145
8431         1   27232975   27245567     25       6  150064       2.7658    0.0028394
10726        1   27243187   27278362     45       8  150064         2.89    0.0019259
126695       1   27271047   27291901     21       4  150064       2.8792    0.0019932
388610       1   27315189   27332377     19       5  150064       0.5384      0.29515
115572       1   27326511   27344333     16       4  150064     -0.72095      0.76453
6548         1   27420300   27486621     63       6  150064       1.8499     0.032162
23038        1   27556007   27640124    127      14  150064       1.4187     0.077997
84065        1   27643636   27667891     46      11  150064       1.7033      0.04426
84958        1   27663483   27685423     51      13  150064       1.4006     0.080674
9064         1   27676670   27698558     50      14  150064       1.4962     0.067304
8547         1   27690601   27706315     18       9  150064       2.2059     0.013696
388611       1   27700596   27714823     14       2  150064    -0.026027      0.51038
2827         1   27714148   27727318      9       3  150064       0.6318      0.26376
10163        1   27725734   27821678    132       8  150064     -0.42137      0.66326
27245        1   27855756   27935463     74      11  150064       1.4063     0.079818
2268         1   27933800   27966727     50       9  150064       2.3341    0.0097964
2537         1   27987572   28003724     26       6  150064    0.0028931      0.49885
199870       1   28047490   28094426     77       4  150064      0.24746      0.40228
23673        1   28094694   28155963     65       6  150064      0.43559      0.33157
5511         1   28152252   28183183     33       4  150064     -0.16616      0.56599
9473         1   28194055   28218196     75      11  150064     0.060963      0.47569
6118         1   28213035   28246255     87       5  150064      0.66744      0.25225
27293        1   28256456   28290663     99      14  150064       1.7128     0.043376
55113        1   28281504   28299604     40      13  150064      0.74309      0.22871
2140         1   28291855   28420173    265      21  150064     0.054871      0.47812
5724         1   28468677   28525447     81      18  150064       2.1691     0.015038
22826        1   28521789   28564542    123      12  150064       1.4103     0.079231
93974        1   28557602   28569616     45       5  150064      0.62453      0.26614
83667        1   28580963   28614002     78      12  150064       1.2399      0.10751
54797        1   28650513   28667478     31       7  150064       2.6973     0.003495
65979        1   28691093   28831881    431      11  150064       1.9042     0.028443
1104         1   28827455   28870708    104       9  150064       1.8753     0.030376
54952        1   28874529   28910057     59      10  150064       3.6533   0.00012943
115273       1   28913712   28926098     19       7  150064       2.6439    0.0040974
6883         1   28924608   28980416     67      12  150064       2.6756    0.0037293
10691        1   28990234   29047115     79       8  150064       2.3304     0.009892
51441        1   29058133   29101287     66       9  150064       1.5755     0.057571
4985         1   29133654   29195208    186      24  150064       4.1447    1.701e-05
2035         1   29208603   29451558    472      28  150064       3.7232   9.8368e-05
399474       1   29440937   29455421     34       8  150064       2.9507    0.0015852
6429         1   29469250   29513637     88      16  150064       2.3133     0.010352
51102        1   29514385   29562460    123      18  150064       1.8717     0.030627
10076        1   29558028   29658325    265      33  150064       1.8402     0.032866
4146         1   31179124   31201432     88      11  150064       1.4671     0.071176
7805         1   31200315   31235683     87      22  150064       1.6567     0.048786
9672         1   31337313   31386480    121      35  150064       1.1908      0.11686
9698         1   31399353   31543838    277      18  150064      0.69308      0.24413
79570        1   31647592   31717734    258      15  150064       3.6752   0.00011881
9410         1   31727415   31774644    128       9  150064       4.1693   1.5279e-05
51538        1   31764832   31843569    174      11  150064       4.2761   9.5107e-06
2170         1   31833100   31850923     35       7  150064       4.4982   3.4267e-06
347735       1   31877412   31912527    110      11  150064        3.103   0.00095793
64129        1   32037086   32058290     37      14  150064      0.43737      0.33092
3061         1   32078290   32098214     41       4  150064     0.058792      0.47656
553115       1   32090463   32115838     42       5  150064      0.22331      0.41165
1307         1   32112848   32174768    119      21  150064    -0.018161      0.50724
576          1   32187718   32235494     47      12  150064      0.43211      0.33283
90853        1   32251023   32286630     65      14  150064     -0.83403      0.79787
8073         1   32367022   32408988     61      12  150064       1.0468      0.14759
10657        1   32474295   32531460     35      13  150064      0.19003      0.42464
55116        1   32533503   32573467     51       8  150064       1.2312      0.10913
23633        1   32568644   32647169     91      11  150064      0.70661      0.23991
200081       1   32640293   32668886     37       8  150064      0.83737      0.20119
79140        1   32661202   32675991     16       4  150064       1.0676      0.14285
55721        1   32666236   32679288     17       4  150064      0.78389      0.21655
149069       1   32669695   32686797     28       6  150064      0.96186      0.16806
56063        1   32675040   32692954     26       7  150064      0.99224      0.16054
8668         1   32682971   32702205     24       4  150064      0.83453      0.20199
84734        1   32707818   32719461     20       6  150064       1.9361     0.026429
3932         1   32711840   32756766     52      16  150064      0.88102      0.18915
3065         1   32752708   32804227     34      17  150064     -0.50379       0.6928
65108        1   32794430   32806840      4       2  150064      0.42536      0.33529
81629        1   32813365   32835098     13       9  150064      0.49836      0.30911
100128071    1   32821871   32832844      8       5  150064      0.55942      0.28794
55108        1   32825704   32865062     26      14  150064     -0.60347       0.7269
728116       1   32925658   32958460     31       7  150064       1.4487     0.073706
653121       1   32999772   33076542    179      10  150064      0.48968      0.31218
339487       1   33081421   33121565    102       6  150064       0.3574       0.3604
5928         1   33111749   33156812     97       5  150064      0.27842      0.39034
81493        1   33140507   33173361     58       4  150064       0.6743      0.25006
57648        1   33202492   33245571     62      16  150064       1.8575     0.031617
8565         1   33235840   33288633     85      11  150064        1.885     0.029713
64766        1   33277368   33329480     71      11  150064       1.9543     0.025335
252995       1   33322869   33343093     27       6  150064       1.7541     0.039707
3208         1   33346688   33365247     28       9  150064       1.4667      0.07123
113452       1   33355196   33372041     20       6  150064       1.7789     0.037627
127544       1   33397050   33435467     76      10  150064       0.2667      0.39485
204          1   33468541   33507512     61      10  150064      -0.3178      0.62468
113451       1   33541711   33591132     67      11  150064     -0.94038      0.82649
55223        1   33606000   33652671     99       7  150064      0.46196      0.32205
149076       1   33716908   33771321     98      15  150064       2.2825     0.011231
127550       1   33767367   33791699     67      12  150064       1.3085      0.09535
1912         1   33784224   33846194    177      22  150064      0.81162       0.2085
7579         1   33933232   33967105     72       9  150064       2.6797     0.003684
114784       1   33974609   34636443   1844     168  150064      0.63153      0.26385
127540       1   34321076   34335392     29       8  150064      -0.5231      0.69955
84970        1   34627624   34689732    207      30  150064       1.1428      0.12656
2709         1   35215648   35229113     48      12  150064     -0.83581      0.79837
127534       1   35220342   35234325     57      10  150064      0.46557      0.32076
2707         1   35241790   35256967     51      11  150064      -0.1562      0.56206
2701         1   35253559   35266351     51       9  150064      -0.6137      0.73029
113444       1   35310963   35330417     49      16  150064       1.0326       0.1509
58512        1   35326037   35396083    104      30  150064       1.7023     0.044354
100506144    1   35442127   35455948     17       2  150064       1.0274      0.15211
9204         1   35446766   35502569     81       2  150064       1.1949      0.11607
79830        1   35520387   35586460     68       6  150064       1.2312      0.10912
6421         1   35636981   35663766     51       3  150064       1.3127     0.094645
9202         1   35729444   35892545    166       9  150064       1.9524     0.025443
79932        1   35894091   36028037    129      11  150064       2.4115    0.0079432
23154        1   36018311   36037380     19       4  150064       2.0407     0.020639
339488       1   36033971   36065929     22       5  150064       2.6002    0.0046588
5690         1   36035259   36112445     45       7  150064       2.5753    0.0050071
127703       1   36174477   36189790     21       4  150064       4.1972   1.3513e-05
63967        1   36180819   36240568     58       6  150064       3.9212   4.4059e-05
192670       1   36268231   36328491     60       9  150064       3.8988   4.8339e-05
26523        1   36330412   36400211     62       8  150064       3.5115    0.0002228
192669       1   36391364   36527360    118      10  150064       3.6155   0.00014986
27285        1   36544676   36558877     14       3  150064       4.1804    1.455e-05
